WORD;HYPERONYM;TEXT;REFERENCE
ОТКАЗОУСТОЙЧИВОСТЬ;Свойство;Отказоустойчивость (англ. Fault tolerance) — свойство технической системы сохранять свою работоспособность после отказа одного или нескольких составных компонентов.;https://ru.wikipedia.org/wiki/Отказоустойчивость
ОТПАЙКА;Отвод;ж. Процесс действия по знач. глаг.: отпаять.;https://поискслов.рф/wd/отпайка
ОТПАЙКА;Результат отпаивания;ж. Процесс действия по знач. глаг.: отпаять.;https://поискслов.рф/wd/отпайка
ОТПАЙКА;Ответвление от провода;ж. Процесс действия по знач. глаг.: отпаять.;https://поискслов.рф/wd/отпайка
ОТПАЙКА;Отделение при помощи нагревания;ж. Процесс действия по знач. глаг.: отпаять.;https://поискслов.рф/wd/отпайка
ОТПАЙКА;Способ обработки;ж. Процесс действия по знач. глаг.: отпаять.;https://поискслов.рф/wd/отпайка
ОТПИРАНИЕ;Вскрытие;ср. Процесс действия по знач. глаг.: отпирать.;https://поискслов.рф/wd/отпирание
ОТПИРАНИЕ;Открывание;ср. Процесс действия по знач. глаг.: отпирать.;https://поискслов.рф/wd/отпирание
ОТПИРАНИЕ;Взламывание;ср. Процесс действия по знач. глаг.: отпирать.;https://поискслов.рф/wd/отпирание
ОТПИРАНИЕ;Откупоривание;ср. Процесс действия по знач. глаг.: отпирать.;https://поискслов.рф/wd/отпирание
ОТПИРАНИЕ;Раскрывание;ср. Процесс действия по знач. глаг.: отпирать.;https://поискслов.рф/wd/отпирание
ОТСТУПНОЕ;Вознаграждение;отступное - ср.Плата, вознаграждение за отказ от чего-л.;https://поискслов.рф/wd/отступное
ОТСТУПНОЕ;Награда;отступное - денежная сумма или имущественная ценность, которые одно лицо должно отдать другому лицу, чтобы освободиться от исполнения своих обязательств перед этим лицом.;https://поискслов.рф/wd/отступное
ОТСТУПНОЕ;Денежная сумма;отступное - денежная сумма или имущественная ценность, которые одно лицо должно отдать другому лицу, чтобы освободиться от исполнения своих обязательств перед этим лицом.;https://поискслов.рф/wd/отступное
ОТСТУПНОЕ;Денежное вознаграждение;отступное - денежная сумма или имущественная ценность, которые одно лицо должно отдать другому лицу, чтобы освободиться от исполнения своих обязательств перед этим лицом.;https://поискслов.рф/wd/отступное
ОТСТУПНОЕ;Способ прекращения обязательства;Отступное — один из способов прекращения обязательства , состоящий в предоставлении должником кредитору взамен исполнения денег, иного имущества и т. п.;https://поискслов.рф/wd/отступное
ОТУПЕНИЕ;Оглупение;;https://поискслов.рф/wd/отупение
ОТУПЕНИЕ;Отсутствие глубоких мысле;;https://поискслов.рф/wd/отупение
ОТУПЕНИЕ;Бессодержательность;Психическое отупение — это состояние, при котором человек чувствует оцепенение, отстраненность, оторванность от жизни.;https://ru.wiktionary.org/wiki/отупение
ОТУПЕНИЕ;Поверхностность;;https://ru.wiktionary.org/wiki/отупение
ОТУПЕНИЕ;Психическое состояние;Психическое отупение — это состояние, при котором человек чувствует оцепенение, отстраненность, оторванность от жизни.;https://ru.wiktionary.org/wiki/отупение
ПАБ;Пивнушка;В британской разговорной речи для названия паба употребляются следующие слова: boozer — пивная, battle cruiser — линейный крейсер, the local — дословно «местный» (паб), watering hole — скважина, rub-a-dub-dub — место тёрки увальней или nuclear sub — ядерная подводная лодка (сокр. от submarine);https://ru.wikipedia.org/wiki/Паб
ПАБ;Пивбар;В британской разговорной речи для названия паба употребляются следующие слова: boozer — пивная, battle cruiser — линейный крейсер, the local — дословно «местный» (паб), watering hole — скважина, rub-a-dub-dub — место тёрки увальней или nuclear sub — ядерная подводная лодка (сокр. от submarine);https://dic.academic.ru/dic.nsf/ruwiki/171419
ПАБ;Пивная;"Изначально — недорогая пивная, бар;";https://поискслов.рф/wd/паб
ПАБ;Бар;"Изначально — недорогая пивная, бар;";https://поискслов.рф/wd/паб
ПАБ;Питейное заведение;Пабы встречаются и в других странах, но там они не являются преобладающими питейными заведениями и воспринимаются главным образом как элемент «экзотического» британского национального колорита.;https://dic.academic.ru/dic.nsf/ruwiki/171419
ПАДЕГРАС;Парный бальный танец;Парный бальный танец установленной композиции, со спокойными движениями, в котором медленные шаги чередуются с приседаниями и фиксированными позами.;https://ru.wikipedia.org/wiki/Падеграс
ПАДЕГРАС;Музыкальное произведение;;https://поискслов.рф/wd/падеграс
ПАДЕГРАС;Русский танец;Падеграс, или па-де-грас (от фр. pas — шаг и фр. grâce — грация, изящество) — русский парный бальный танец, для которого характерно чередование мягких шагов с приседаниями и фиксированных поз[2].;https://ru.wikipedia.org/wiki/Падеграс
ПАДЕГРАС;Музыка;;https://поискслов.рф/wd/падеграс
ПАДЕГРАС;Стиль танца;Парный бальный танец установленной композиции, со спокойными движениями, в котором медленные шаги чередуются с приседаниями и фиксированными позами.;https://поискслов.рф/wd/падеграс
ПАДУЧАЯ;Эпилепсия;Падучая болезнь, эпилепсия.;https://поискслов.рф/wd/падучая
ПАДУЧАЯ;Хроническое неврологическое заболевание;Падучая болезнь, эпилепсия.;https://dic.academic.ru/dic.nsf/ushakov/918998
ПАДУЧАЯ;Болезнь;Падучая болезнь, эпилепсия.;https://ru.wiktionary.org/wiki/падучая
ПАДУЧАЯ;Приступ;Падучая болезнь, эпилепсия.;https://поискслов.рф/wd/падучая
ПАДУЧАЯ;Заболевание;Падучая болезнь, эпилепсия.;https://поискслов.рф/wd/падучая
ПАЙЕТКА;Блёстка;Пайе́тка (фр. paillette «золотая песчинка, золотинка»), или же блёстка — мелкая плоская либо рельефная чешуйка из блестящего материала круглой или многогранной формы, имеющая отверстие для продевания нитки для крепления на ткани или другом материале.;https://ru.wikipedia.org/wiki/Пайетка
ПАЙЕТКА;Украшение;;https://www.bonprix.ru/slovar-mody/pajetki/
ПАЙЕТКА;Чешуйка из блестящего материала;Пайе́тка (фр. paillette «золотая песчинка, золотинка»), или же блёстка — мелкая плоская либо рельефная чешуйка из блестящего материала круглой или многогранной формы, имеющая отверстие для продевания нитки для крепления на ткани или другом материале.;https://ru.wikipedia.org/wiki/Пайетка
ПАЙЕТКА;Маленькая блестящая пластинка;Пайетки – это маленькие блестящие пластинки из тонкого металла или пластика с цветным напылением.;https://www.bonprix.ru/slovar-mody/pajetki/
ПАЙЕТКА;Аксессуар;;
ПАКЛЯ;Грубое волокно;пакли, мн. нет, ж. Грубое короткое волокно, получаемое при обработке льна и конопли как отход и употр. для конопачения, для обтирки машин ;https://поискслов.рф/wd/пакля
ПАКЛЯ;Отход обработки;Пакля – это отход первичной обработки пеньки, льна и других лубяных культур. Льняная пакля широко используется в строительстве благодаря своим свойствам (тепло- и звукоизоляция).;https://поискслов.рф/wd/пакля
ПАКЛЯ;Продукт первичной переработки;пакля - отход первичной обработки пеньки, льна и других лубяных культур. Используется как прокладочный, набивочный, обтирочный и т.п. материал.;https://www.tybet.ru/wiki/%CF%E0%EA%EB%FF/
ПАКЛЯ;Строительный материал;Пакля – это отход первичной обработки пеньки, льна и других лубяных культур. Льняная пакля широко используется в строительстве благодаря своим свойствам (тепло- и звукоизоляция).;https://поискслов.рф/wd/пакля
ПАКЛЯ;Материал;пакля - отход первичной обработки пеньки, льна и других лубяных культур. Используется как прокладочный, набивочный, обтирочный и т.п. материал.;https://www.tybet.ru/wiki/%CF%E0%EA%EB%FF/
ПАЛАДИН;Доблестный рыцарь;ПАЛАДИН (от позднелат. palatinus - придворный) в средневековой западно-европейской литературе название сподвижников Карла Великого. Позднее паладином стали называть доблестного рыцаря, преданного своему государю или даме. ;https://поискслов.рф/wd/паладин
ПАЛАДИН;Придворный вельможа;"Палади́н  — название высших придворных, военных и гражданских чинов при дворе римских и византийских императоров;  рыцарь из высшего сословия , фанатично преданный какой-либо идее или какому-либо человеку.";https://поискслов.рф/wd/паладин
ПАЛАДИН;Военный чин;"Палади́н  — название высших придворных, военных и гражданских чинов при дворе римских и византийских императоров;  рыцарь из высшего сословия , фанатично преданный какой-либо идее или какому-либо человеку.";https://поискслов.рф/wd/паладин
ПАЛАДИН;Почётный титул;"Палади́н  — название высших придворных, военных и гражданских чинов при дворе римских и византийских императоров;  рыцарь из высшего сословия , фанатично преданный какой-либо идее или какому-либо человеку.";https://поискслов.рф/wd/паладин
ПАЛАДИН;Лицо военно-дворянского сословия;"Палади́н  — название высших придворных, военных и гражданских чинов при дворе римских и византийских императоров;  рыцарь из высшего сословия , фанатично преданный какой-либо идее или какому-либо человеку.";https://поискслов.рф/wd/паладин
ПАЛЕОЗОЙ;Геологическая эра;Палеозо́йская э́ра, палеозо́й, PZ  — геологическая эра в истории планеты Земля , известная как эра древней жизни.;https://поискслов.рф/wd/палеозой
ПАЛЕОЗОЙ;Этап истории земли;ПАЛЕОЗОЙ, ПАЛЕОЗОЙСКАЯ эра [палео… + гр. жизнь] – древняя, вторая эра в истории образования земной коры;https://поискслов.рф/wd/палеозой
ПАЛЕОЗОЙ;Древнейшая эра;Палеозо́йская э́ра, палеозо́й, PZ  — геологическая эра в истории планеты Земля , известная как эра древней жизни.;https://dic.academic.ru/dic.nsf/dic_fwords/46806/палеозой
ПАЛЕОЗОЙ;Вторая эра;ПАЛЕОЗОЙ, ПАЛЕОЗОЙСКАЯ эра [палео… + гр. жизнь] – древняя, вторая эра в истории образования земной коры;https://dic.academic.ru/dic.nsf/dic_fwords/46806/палеозой
ПАЛЕОЗОЙ;Период образования земной коры;ПАЛЕОЗОЙ, ПАЛЕОЗОЙСКАЯ эра [палео… + гр. жизнь] – древняя, вторая эра в истории образования земной коры;https://dic.academic.ru/dic.nsf/dic_fwords/46806/палеозой
ПАЛЬПАЦИЯ;Врачебный метод;ПАЛЬПАЦИЯ (от лат. palpatio - ощупывание) врачебный метод исследования больного;https://поискслов.рф/wd/пальпация
ПАЛЬПАЦИЯ;Метод медицинской диагностики;Пальпа́ция (лат. palpatio — «ощупывание») — физический метод медицинской диагностики, проводимый путём ощупывания тела пациента.;https://ru.wikipedia.org/wiki/Пальпация
ПАЛЬПАЦИЯ;Ощупывание;ПАЛЬПАЦИЯ (от лат. palpatio - ощупывание) врачебный метод исследования больного;https://поискслов.рф/wd/пальпация
ПАЛЬПАЦИЯ;Прощупывание;ПАЛЬПАЦИЯ (от лат. palpatio - ощупывание) врачебный метод исследования больного;https://поискслов.рф/wd/пальпация
ПАЛЬПАЦИЯ;Физический метод обследования;Пальпа́ция (лат. palpatio — «ощупывание») — физический метод медицинской диагностики, проводимый путём ощупывания тела пациента.;https://ru.wikipedia.org/wiki/Пальпация
ПАНИКАДИЛО;Висячая люстра в церкви;ПАНИКАДИЛО (среднегреч. polykandelon) большая люстра или многогнездный подсвечник в церкви;https://поискслов.рф/wd/паникадило
ПАНИКАДИЛО;Предмет мебели;;
ПАНИКАДИЛО;Люстра со свечами;Паникади́ло (также всесвещник, поликанди́ло  — в православном храме центральная люстра , светильник со множеством свечей или лампад ;https://v-hram.ru/articles/panikadilo/
ПАНИКАДИЛО;Центральный светильник в храме;Паникадило - это центральный светильник, богато украшенный хрусталём, способствующим усилению света свечей;https://поискслов.рф/wd/паникадило
ПАНИКАДИЛО;Многогнездный подсвечник;ПАНИКАДИЛО (среднегреч. polykandelon) большая люстра или многогнездный подсвечник в церкви;https://поискслов.рф/wd/паникадило
ПАНИРОВКА;Кулинарная обработка;;https://поискслов.рф/wd/панировка
ПАНИРОВКА;Этап приготовления еды;;https://поискслов.рф/wd/панировка
ПАНИРОВКА;Особая смесь продуктов;Панировка – это продукт или особая смесь продуктов, которые представлены чаще всего в измельченном виде и служат для образования специального покрытия кулинарных изделий.;http://findfood.ru/termin/panirovka
ПАНИРОВКА;Обваливание еды в сухарях;Обваливание кулинарного изделия в толченых сухарях или в муке перед жаркой для образования хрустящей корочки и сочности;https://поискслов.рф/wd/панировка
ПАНИРОВКА;Способ готовки;;https://поискслов.рф/wd/панировка
ПАНОПТИКУМ;Музей восковых фигур;Пано́птикум (от др.-греч. πᾶν «всё» + ὀπτικός «зрительный») — музей, коллекция разнообразных необычайных предметов (например, восковых фигур, причудливых живых существ, редкостей, кукол и т. п.)[1]. В переносном смысле — сборище чего-то невероятного, жуткого (см. толковый словарь Ефремовой).;https://поискслов.рф/wd/паноптикум
ПАНОПТИКУМ;Коллекция редких предметов;Пано́птикум (от др.-греч. πᾶν «всё» + ὀπτικός «зрительный») — музей, коллекция разнообразных необычайных предметов (например, восковых фигур, причудливых живых существ, редкостей, кукол и т. п.)[1]. В переносном смысле — сборище чего-то невероятного, жуткого (см. толковый словарь Ефремовой).;https://поискслов.рф/wd/паноптикум
ПАНОПТИКУМ;Сборище невероятного;Пано́птикум (от др.-греч. πᾶν «всё» + ὀπτικός «зрительный») — музей, коллекция разнообразных необычайных предметов (например, восковых фигур, причудливых живых существ, редкостей, кукол и т. п.)[1]. В переносном смысле — сборище чего-то невероятного, жуткого (см. толковый словарь Ефремовой).;https://поискслов.рф/wd/паноптикум
ПАНОПТИКУМ;Проект идеальной тюрьмы;;https://ru.wikipedia.org/wiki/Паноптикум
ПАНОПТИКУМ;Собрание необычайных предметов;ПАНОПТИКУМ (от пан... и греч. optikos - зрительный) собрание разнообразных необычайных предметов (напр., восковых фигур), причудливых живых существ и т.п.;https://поискслов.рф/wd/паноптикум
ПАНТАЛОНЫ;Брюки;;https://поискслов.рф/wd/панталоны
ПАНТАЛОНЫ;Мужские штаны;"Панталоны - Длинные мужские штаны (в прежнее время обычно белые). Женские нижние штаны (короткие, ранее, у девочек; до голени или ниже). ";https://ru.wikipedia.org/wiki/Панталоны
ПАНТАЛОНЫ;Нижнее женское бельё;"Панталоны - Длинные мужские штаны (в прежнее время обычно белые). Женские нижние штаны (короткие, ранее, у девочек; до голени или ниже). ";https://ru.wikipedia.org/wiki/Панталоны
ПАНТАЛОНЫ;Трико;;https://поискслов.рф/wd/панталоны
ПАНТАЛОНЫ;Нательная одежда;Пантало́ны — нательная одежда типа колгот от пояса до колен.;https://ru.wikipedia.org/wiki/Панталоны
ПАНТЫ;Рога;ПАНТЫ́, пантов-пантов, ед. нет (монг.). Рога молодых маралов, еще покрытые тонким кожным слоем, употр. для изготовления лекарственных средств.;https://ru.wikipedia.org/wiki/Панты
ПАНТЫ;Выросты;;https://поискслов.рф/wd/панты
ПАНТЫ;Оленьи рога;Па́нты — рога оленей в период их ежегодного роста, имеют трубчатую неороговевшую структуру, наполнены кровью , покрыты тонкой бархатистой кожей с короткой мягкой шерстью.;https://поискслов.рф/wd/панты
ПАНТЫ;Образование на головах;;https://поискслов.рф/wd/панты
ПАНТЫ;Выросты на голове;;https://поискслов.рф/wd/панты
ПАНТЮРКИЗМ;Политическое течение;Пантюрки́зм — гуманистическое культурное и политическое течение, распространённое в государствах, населенных тюркскими народами, в основе которого лежат идеи о необходимости их по;https://dic.academic.ru/searchall.php?SWord=ПАНТЮРКИЗМ&from=xx&to=ru&did=ushakov&stype=
ПАНТЮРКИЗМ;Доктрина;ПАНТЮРКИЗМ — доктрина, возникшая в Турции в начале XX в. проповедует объединение под властью Турции всех тюркоязычных народов;https://ru.wikipedia.org/wiki/Пантюркизм
ПАНТЮРКИЗМ;Идеалогия;пантюркизм — Идеология, провозглашающая принадлежность тюркоязычных народов к одной нации, ставящая задачу объединения всех тюркоязычных в одном государстве под эгидой Турции;https://w.histrf.ru/articles/article/show/pantiurkizm
ПАНТЮРКИЗМ;Политическое движение;Пантюрки́зм — гуманистическое культурное и политическое течение, распространённое в государствах, населенных тюркскими народами, в основе которого лежат идеи о необходимости их политической консолидации на основе этнической, культурной и языковой общности;https://dic.academic.ru/searchall.php?SWord=ПАНТЮРКИЗМ&from=xx&to=ru&did=ushakov&stype=
ПАНТЮРКИЗМ;Идеологическое движение;Пантюрки́зм — гуманистическое культурное и политическое течение, распространённое в государствах, населенных тюркскими народами, в основе которого лежат идеи о необходимости их политической консолидации на основе этнической, культурной и языковой общности;https://ru.wikipedia.org/wiki/Пантюркизм
