WORD;HYPORONIMS;TEXT;REFERENCE
ОСТРАСТКА;Угроза;Острастка — это угроза, суровое предостережение,  запугивающее наказание.;https://поискслов.рф/wd/острастка
ОСТРАСТКА;Предостережение;Острастка — это угроза, суровое предостережение,  запугивающее наказание.;https://ru.wiktionary.org/wiki/острастка
ОСТРАСТКА;Урок;Острастка — строгое предупреждение или наказание как урок на будущее.;https://dic.academic.ru/dic.nsf/ogegova/142454
ОСТРИЦА;Глист;Острица — это мелкий глист, червяк-паразит развивающийся в прямой кишке и вызывающий сильный зуд.;http://www.04.rospotrebnadzor.ru/index.php/epid-otdel/org/10791-2019-05-22-10-39-57.html
ОСТРИЦА;Гельминт;Острица — это один из наиболее распространенных кишечных гельминтов.;http://cgon.rospotrebnadzor.ru/content/63/3121/
ОСТРИЦА;Сорное растение;"Острица — это сорное растение рода семейства ""Бурачниковые"".";https://поискслов.рф/wd/острица
ОСТРИЦА;Паразитирующий червь;Острица — это круглый червь подотряда Oxyurata, который паразитирует у человека.;http://cgon.rospotrebnadzor.ru/content/63/3121/
ОСТРИЦА;Населенный пункт;Острица — это населённый пункт в Болгарии.;https://поискслов.рф/wd/острица
ОТВЯЗКА;Расслабление;Отвязка — это отдых, развлечение, расслабление, празднество, отпуск.;https://gufo.me/dict/russian_argot/отвязка
ОТВЯЗКА;Развлечение;Отвязка — это отдых, развлечение, расслабление, празднество, отпуск.;https://gufo.me/dict/russian_argot/отвязка
ОТВЯЗКА;Открепление;Отвязка — это действие, означающее открепление.;https://поискслов.рф/wd/отвязка
ОТВЯЗКА;Освобождение от привязи;Отвязка — это освобождение от привязи.;https://dic.academic.ru/dic.nsf/efremova/205104/Отвязка
ОТВЯЗКА;Отвязывание;"Отвязка — это действие, которое означает ""отвязывать"", ""отвязывание"".";https://поискслов.рф/wd/отвязка
ОТКАЗОУСТОЙЧИВОСТЬ;Сохранение работоспособности;Отказоустойчивость — это способность системы продолжать полноценно работать при выходе из строя отдельных компонентов;https://web-creator.ru/articles/about_failover
ОТКАЗОУСТОЙЧИВОСТЬ;Свойство технической системы;Отказоустойчивость — свойство технической системы сохранять работоспособность после отказа одного или нескольких составных компонентов.;https://ru.wikipedia.org/wiki/Отказоустойчивость
ОТКАЗОУСТОЙЧИВОСТЬ;Способность;Отказоустойчивость — это способность системы продолжать полноценно работать при выходе из строя отдельных компонентов.;https://web-creator.ru/articles/about_failover
ОТКАЗОУСТОЙЧИВОСТЬ;Показатель;Отказоустойчивость — это способность системы продолжать полноценно работать при выходе из строя отдельных компонентов.;https://web-creator.ru/articles/about_failover
ОТКАЗОУСТОЙЧИВОСТЬ;Свойство;Отказоустойчивость — свойство технической системы сохранять работоспособность после отказа одного или нескольких составных компонентов.;https://ru.wikipedia.org/wiki/Отказоустойчивость
ОТПАЙКА;Отвод;Отпайка — это отвод.;https://поискслов.рф/wd/отпайка
ОТПАЙКА;Результат отпаивания;Отпайка — это ответвление.;https://business_thesaurus.academic.ru/8033
ОТПАЙКА;Ответвление от провода;Отпайка — это ответвление.;https://поискслов.рф/wd/отпайка
ОТПАЙКА;Отделение при помощи нагревания;Отпайка — это отделение при помощи нагревания.;https://поискслов.рф/wd/отпайка
ОТПАЙКА;Способ соединения металлических материалов;Отпайка — это способ соединения металлических материалов при помощи расплавленного припоя, при этом металлы смачиваются припоем без их расплавления.;https://elmash.org/paieka.html
ОТПИРАНИЕ;Вскрытие;Отпирание — это  вскрытие чего-либо.;https://поискслов.рф/wd/отпирание
ОТПИРАНИЕ;Открывание;Отпирание — это открывание чего-либо.;https://поискслов.рф/wd/отпирание
ОТПИРАНИЕ;Взламывание;Отпирание — это взламывание чего-либо.;https://поискслов.рф/wd/отпирание
ОТПИРАНИЕ;Откупоривание;Отпирание — это откупоривание чего-либо.;https://поискслов.рф/wd/отпирание
ОТПИРАНИЕ;Раскрывание;Отпирание — это раскрывание чего-либо.;https://поискслов.рф/wd/отпирание
ОТСТУПНОЕ;Вознаграждение;Отступное — это вознаграждение за отказ от чего-либо.;https://поискслов.рф/wd/отступное
ОТСТУПНОЕ;Награда;Отступное — это награда за отказ от чего-либо.;https://поискслов.рф/wd/отступное
ОТСТУПНОЕ;Денежная сумма;Отступное — это денежная сумма, которую одно лицо должно отдать другому лицу, чтобы освободиться от исполнения своих обязательств перед этим лицом.;https://поискслов.рф/wd/отступное
ОТСТУПНОЕ;Денежное вознаграждение;Отступное — это денежная вознаграждение, которое одно лицо должно отдать другому лицу, чтобы освободиться от исполнения своих обязательств перед этим лицом.;https://поискслов.рф/wd/отступное
ОТСТУПНОЕ;Способ прекращения обязательства;Отступное — это способ прекращения обязательства , состоящий в предоставлении должником кредитору взамен исполнения денег, иного имущества и т. п.;https://поискслов.рф/wd/отступное
ОТУПЕНИЕ;Оглупение;Отупение — это состояние оглупления.;https://поискслов.рф/wd/отупение
ОТУПЕНИЕ;Отсутствие глубоких мысле;Отупение — это отсутствие глубоких мыслей, поверхностность, бессодержательность.;https://поискслов.рф/wd/отупение
ОТУПЕНИЕ;Бессодержательность;Отупение — это отсутствие глубоких мыслей, поверхностность, бессодержательность.;https://ru.wiktionary.org/wiki/отупение
ОТУПЕНИЕ;Поверхностность;Отупение — это отсутствие глубоких мыслей, поверхностность, бессодержательность.;https://ru.wiktionary.org/wiki/отупение
ОТУПЕНИЕ;Психическое состояние;Отупение — это психическое состояние, при котором человек чувствует оцепенение, отстраненность, оторванность от жизни.;https://ru.wiktionary.org/wiki/отупение
ПАБ;Пивнушка;"В британской разговорной речи паб — это  ""пивная"".";https://ru.wikipedia.org/wiki/Паб
ПАБ;Пивбар;Паб — это  пивбар.;https://dic.academic.ru/dic.nsf/ruwiki/171419
ПАБ;Пивная;Паб — это недорогая пивная.;https://поискслов.рф/wd/паб
ПАБ;Бар;Паб — это недорогой бар.;https://поискслов.рф/wd/паб
ПАБ;Питейное заведение;Пабы — это питейное заведение, и воспринимаются главным образом как элемент «экзотического» британского национального колорита.;https://dic.academic.ru/dic.nsf/ruwiki/171419
ПАДЕГРАС;Парный бальный танец;Падеграс — это парный бальный танец установленной композиции, со спокойными движениями, в котором медленные шаги чередуются с приседаниями и фиксированными позами.;https://ru.wikipedia.org/wiki/Падеграс
ПАДЕГРАС;Музыкальное произведение;Падеграс — это музыкальное произведение в ритме такого танца.;https://дословно.рф/значение/падеграс
ПАДЕГРАС;Русский танец;Падеграс — это парный бальный танец установленной композиции, со спокойными движениями, в котором медленные шаги чередуются с приседаниями и фиксированными позами.;https://ru.wikipedia.org/wiki/Падеграс
ПАДЕГРАС;Музыка;Падеграс — это музыка к такому танцу. ;https://дословно.рф/значение/падеграс
ПАДЕГРАС;Стиль танца;Падеграс — это стиль парного танца установленной композиции, со спокойными движениями, в котором медленные шаги чередуются с приседаниями и фиксированными позами.;https://поискслов.рф/wd/падеграс
ПАДУЧАЯ;Эпилепсия;Эпилепсия — это падучая болезнь.;https://поискслов.рф/wd/падучая
ПАДУЧАЯ;Хроническое неврологическое заболевание;Падучая — это хроническое неврологическое заболевание, проявляющееся в предрасположенности организма к внезапному возникновению судорожных приступов.;httphttps://ru.wikipedia.org/wiki/Эпилепсияs://dic.academic.ru/dic.nsf/ushakov/918998
ПАДУЧАЯ;Болезнь;Падучая — это болезнь, эпилепсия.;https://ru.wiktionary.org/wiki/падучая
ПАДУЧАЯ;Припадок;Припадок — это судорожный припадки как признак падучей болезни, по которому ставится диагноз эпилепсии.;https://поискслов.рф/wd/падучая
ПАДУЧАЯ;Заболевание;"Падучая — это заболевание под названием  ""эпилепсия"".";https://поискслов.рф/wd/падучая
ПАЙЕТКА;Блёстка;Пайетка — это мелкая, плоская блёстка, имеющая отверстие для продевания нитки для крепления на ткани или другом материале.;https://ru.wikipedia.org/wiki/Пайетка
ПАЙЕТКА;Украшение;Пайетка — это элемент украшения одежды, аксессуаров и обуви.;https://www.bonprix.ru/slovar-mody/pajetki/
ПАЙЕТКА;Чешуйка из блестящего материала;Пайетка — это мелкая чешуйка из блестящего материала круглой или многогранной формы, имеющая отверстие для продевания нитки для крепления на ткани или другом материале.;https://ru.wikipedia.org/wiki/Пайетка
ПАЙЕТКА;Маленькая блестящая пластинка;Пайетка – это блестящая пластинка из тонкого металла или пластика с цветным напылением.;https://www.bonprix.ru/slovar-mody/pajetki/
ПАЙЕТКА;Аксессуар;Пайетка — это элемент украшения одежды, аксессуаров и обуви.;https://www.bonprix.ru/slovar-mody/pajetki/
ПАКЛЯ;Грубое волокно;Пакля — это грубое короткое волокно, получаемое при обработке льна и конопли как отход и употр. для конопачения, для обтирки машин.;https://www.passion.ru/style/modnyy-slovar-p/payetki-26110.htm
ПАКЛЯ;Отход обработки;Пакля — это отход первичной обработки пеньки, льна и других лубяных культур. Льняная пакля широко используется в строительстве благодаря своим свойствам (тепло- и звукоизоляция).;https://поискслов.рф/wd/пакля
ПАКЛЯ;Продукт первичной переработки;Пакля — это отход первичной обработки пеньки, льна и других лубяных культур. Используется как прокладочный, набивочный, обтирочный и т.п. материал.;https://www.tybet.ru/wiki/%CF%E0%EA%EB%FF/
ПАКЛЯ;Строительный материал;Пакля — это строительный материал. Льняная пакля широко используется в строительстве благодаря своим свойствам (тепло- и звукоизоляция).;https://поискслов.рф/wd/пакля
ПАКЛЯ;Материал;Пакля — это отход первичной обработки пеньки, льна и других лубяных культур. Используется как прокладочный, набивочный, обтирочный  материал.;https://www.tybet.ru/wiki/%CF%E0%EA%EB%FF/
ПАЛАДИН;Доблестный рыцарь;Паладин в средневековой западно-европейской литературе — это рыцарь из высшего сословия, фанатично преданный какой-либо идее или какому-либо человеку. ;https://поискслов.рф/wd/паладин
ПАЛАДИН;Придворный вельможа;Паладин  — это придворный вельможа.;https://поискслов.рф/wd/паладин
ПАЛАДИН;Военный чин;Паладин  — это название военных чинов при дворе римских и византийских императоров.;https://поискслов.рф/wd/паладин
ПАЛАДИН;Почётный титул;Паладин  — это почетный титул, военные и гражданские чины при дворе римских и византийских императоров.;https://поискслов.рф/wd/паладин
ПАЛАДИН;Лицо военно-дворянского сословия;"Паладин  — это название высших придворных, военных и гражданских чинов при дворе римских и византийских императоров;  рыцарь из высшего сословия , фанатично преданный какой-либо идее или какому-либо человеку.";https://поискслов.рф/wd/паладин
ПАЛЕОЗОЙ;Геологическая эра;Палеозой — это геологическая эра в истории планеты Земля, известная как эра древней жизни.;https://поискслов.рф/wd/палеозой
ПАЛЕОЗОЙ;Этап истории земли;Палеозой — это этап истории земли, образования земной коры.;https://поискслов.рф/wd/палеозой
ПАЛЕОЗОЙ;Древнейшая эра;Палеозой — это древнейшая эра в истории.;https://dic.academic.ru/dic.nsf/dic_fwords/46806/палеозой
ПАЛЕОЗОЙ;Вторая эра;Палеозой — это вторая эра в истории образования земной коры;https://dic.academic.ru/dic.nsf/dic_fwords/46806/палеозой
ПАЛЕОЗОЙ;Период образования земной коры;Палеозой — это период образования земной коры.;https://dic.academic.ru/dic.nsf/dic_fwords/46806/палеозой
ПАЛЬПАЦИЯ;Врачебный метод;Пальпация — это врачебный метод исследования больного.;https://поискслов.рф/wd/пальпация
ПАЛЬПАЦИЯ;Метод медицинской диагностики;Пальпация — это метод медицинской диагностики, проводимый путём ощупывания тела пациента.;https://ru.wikipedia.org/wiki/Пальпация
ПАЛЬПАЦИЯ;Ощупывание;Пальпация — это ощупывание больного.;https://поискслов.рф/wd/пальпация
ПАЛЬПАЦИЯ;Прощупывание;Пальпация — это прощупывание больного.;https://поискслов.рф/wd/пальпация
ПАЛЬПАЦИЯ;Физический метод обследования;Пальпация — это физический метод медицинской диагностики, проводимый путём ощупывания тела пациента.;https://ru.wikipedia.org/wiki/Пальпация
ПАНИКАДИЛО;Висячая люстра в церкви;Паникадило — это  висячая люстра в церкви.;https://поискслов.рф/wd/паникадило
ПАНИКАДИЛО;Предмет мебели;Паникадило — это предмет мебели.;https://поискслов.рф/wd/паникадило
ПАНИКАДИЛО;Люстра со свечами;Паникадило — это в православном храме центральный светильник со множеством свечей или лампад.;https://v-hram.ru/articles/panikadilo/
ПАНИКАДИЛО;Центральный светильник в храме;Паникадило — это центральный светильник, богато украшенный хрусталём, способствующим усилению света свечей.;https://поискслов.рф/wd/паникадило
ПАНИКАДИЛО;Многогнездный подсвечник;Паникадило — это многогнездный подсвечник в церкви.;https://поискслов.рф/wd/паникадило
ПАНИРОВКА;Кулинарная обработка;Панировка — это кулинарная обработка, в котором  смесь представлена чаще всего в измельченном виде и служат для образования специального покрытия кулинарных изделий.;https://поискслов.рф/wd/панировка
ПАНИРОВКА;Этап приготовления еды;Панировка — это  этап приготовления пищи, еды.;https://поискслов.рф/wd/панировка
ПАНИРОВКА;Особая смесь продуктов;Панировка — это особая смесь продуктов, которые представлены чаще всего в измельченном виде и служат для образования специального покрытия кулинарных изделий.;http://findfood.ru/termin/panirovka
ПАНИРОВКА;Обваливание еды в сухарях;Панирока — это процесс обваливания кулинарного изделия в толченых сухарях или в муке перед жаркой для образования хрустящей корочки и сочности.;https://поискслов.рф/wd/панировка
ПАНИРОВКА;Способ готовки;Панировка — это  способ готовки, который представлен обваливанием продукта в измельченном виде.;https://поискслов.рф/wd/панировка
ПАНОПТИКУМ;Музей восковых фигур;Паноптикум  — это музей восковых фигур.;https://поискслов.рф/wd/паноптикум
ПАНОПТИКУМ;Коллекция редких предметов;Паноптикум — это коллекция редких необычайных предметов.;https://поискслов.рф/wd/паноптикум
ПАНОПТИКУМ;Сборище невероятного;Паноптикум — это сборище чего-то невероятного, жуткого.;https://поискслов.рф/wd/паноптикум
ПАНОПТИКУМ;Проект идеальной тюрьмы;Паноптикум — это проект идеальной тюрьмы, разработанный английским философом и социальным теоретиком Джереми Бентамом в конце 18-го века.;https://ru.wikipedia.org/wiki/Паноптикум
ПАНОПТИКУМ;Собрание необычайных предметов;Паноптикум — это собрание  необычайных предметов (напр., восковых фигур), причудливых живых существ.;https://поискслов.рф/wd/паноптикум
ПАНТАЛОНЫ;Брюки;Панталоны — это длинные мужские брюки.;https://поискслов.рф/wd/панталоны
ПАНТАЛОНЫ;Мужские штаны;Панталоны — это длинные мужские штаны. ;https://ru.wikipedia.org/wiki/Панталоны
ПАНТАЛОНЫ;Нижнее женское бельё;"Панталоны — это женское нижнее белье (короткие, ранее, у девочек; до голени или ниже). ";https://ru.wikipedia.org/wiki/Панталоны
ПАНТАЛОНЫ;Трико;Панталоны — это мужские штаны, трико.;https://поискслов.рф/wd/панталоны
ПАНТАЛОНЫ;Нательная одежда;Панталоны — это нательная одежда типа колгот от пояса до колен.;https://ru.wikipedia.org/wiki/Панталоны
ПАНТЫ;Рог;Панты — это рога, еще покрытые тонким кожным слоем, употребляемых для изготовления лекарственных средств.;https://ru.wikipedia.org/wiki/Панты
ПАНТЫ;Выросты;Панты — это костные выросты на черепе животных.;https://poncy.ru/crossword/?mask=----&desc=панты%20как%20у%20марала
ПАНТЫ;Рога оленей;Панты — это рога оленей в период их ежегодного роста, имеют трубчатую неороговевшую структуру, наполнены кровью , покрыты тонкой бархатистой кожей с короткой мягкой шерстью.;https://поискслов.рф/wd/панты
ПАНТЫ;Рога маралов;Панты — это рога молодых маралов, еще покрытые тонким кожным слоем, употр. для изготовления лекарственных средств.;https://поискслов.рф/wd/панты
ПАНТЫ;Молодые рога;Панты — это молодые рога, которые пронизаны сосудами и нервами, покрыты короткой шерсткой, потом они окостевают.;https://books.google.kz/books?id=34gtDwAAQBAJ&pg=PA182&lpg=PA182&dq=панты+выросты&source=bl&ots=Xk7Z9lcmG6&sig=ACfU3U1vIp-9SyBqhI0YHOh3-76NZWDuNg&hl=ru&sa=X&ved=2ahUKEwiB1NTzq-_nAhWrtYsKHWLiC7I4ChDoATAAegQICBAB#v=onepage&q=панты%20выросты&f=false
ПАНТЮРКИЗМ;Политическое течение;Пантюркизм — это политическое течение, распространённое в государствах, населенных тюркскими народами.;https://dic.academic.ru/searchall.php?SWord=ПАНТЮРКИЗМ&from=xx&to=ru&did=ushakov&stype=
ПАНТЮРКИЗМ;Доктрина;Пантюркизм — это доктрина, возникшая в Турции в начале XX в. проповедует объединение под властью Турции всех тюркоязычных народов.;https://ru.wikipedia.org/wiki/Пантюркизм
ПАНТЮРКИЗМ;Идеалогия;Пантюркизм — это идеология, провозглашающая принадлежность тюркоязычных народов к одной нации, ставящая задачу объединения всех тюркоязычных в одном государстве под эгидой Турции.;https://w.histrf.ru/articles/article/show/pantiurkizm
ПАНТЮРКИЗМ;Политическое движение;Пантюркизм — это политическое движение, распространённое в государствах, населенных тюркскими народами, в основе которого лежат идеи о необходимости их политической консолидации на основе этнической, культурной и языковой общности.;https://dic.academic.ru/searchall.php?SWord=ПАНТЮРКИЗМ&from=xx&to=ru&did=ushakov&stype=
ПАНТЮРКИЗМ;Идеологическое движение;Пантюркизм — это мощное идеологическое движение.;https://expert.ru/kazakhstan/2010/43/obschestvo/
